07/02/2026

model 5827 best

lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 0.01*0.01
c2 = 0.1*0.1
epochs = 2500
K_epochs = 5


Starting 10 parallel training runs...

[Model0] Layers: 5, Setup: [[8, 256], [256, 256], [256, 4], [4, 128], [128, 512]]
[Model1] Layers: 5, Setup: [[8, 256], [256, 256], [256, 4], [4, 512], [512, 1024]]
[Model2] Layers: 5, Setup: [[8, 256], [256, 128], [128, 8], [8, 128], [128, 1024]]
[Model3] Layers: 5, Setup: [[8, 256], [256, 64], [64, 16], [16, 512], [512, 1024]]
[Model4] Layers: 5, Setup: [[8, 256], [256, 128], [128, 16], [16, 128], [128, 1024]]
[Model5] Layers: 5, Setup: [[8, 256], [256, 256], [256, 16], [16, 512], [512, 256]]
[Model6] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model7] Layers: 5, Setup: [[8, 256], [256, 64], [64, 16], [16, 512], [512, 1024]]
[Model8] Layers: 5, Setup: [[8, 256], [256, 128], [128, 16], [16, 128], [128, 512]]
[Model9] Layers: 5, Setup: [[8, 512], [512, 128], [128, 8], [8, 512], [512, 1024]]


[Model 5823] Epoch: 400, L_clip: -0.87, Squared loss: 0.02, Entropy loss: 0.06, Avg Rewards: -4.72, Time elapsed: 23.48s
[Model 5828] Epoch: 400, L_clip: 0.02, Squared loss: 0.00, Entropy loss: 0.03, Avg Rewards: -4.98, Time elapsed: 24.94s
[Model 5825] Epoch: 400, L_clip: -0.27, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.74, Time elapsed: 25.62s
[Model 5824] Epoch: 400, L_clip: -0.06, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.80, Time elapsed: 25.61s
[Model 5831] Epoch: 400, L_clip: -0.04, Squared loss: 0.00, Entropy loss: 0.05, Avg Rewards: -4.88, Time elapsed: 25.77s
[Model 5832] Epoch: 500, L_clip: -0.14, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.78, Time elapsed: 25.89s
[Model 5829] Epoch: 500, L_clip: 0.06, Squared loss: 0.00, Entropy loss: 0.03, Avg Rewards: -4.87, Time elapsed: 26.52s
[Model 5826] Epoch: 500, L_clip: -0.07, Squared loss: 0.00, Entropy loss: 0.05, Avg Rewards: -4.78, Time elapsed: 26.62s
[Model 5830] Epoch: 500, L_clip: -0.06, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.74, Time elapsed: 26.96s
[Model 5827] Epoch: 500, L_clip: -0.48, Squared loss: 0.02, Entropy loss: 0.05, Avg Rewards: -4.72, Time elapsed: 28.88s
[Model 5823] Epoch: 500, L_clip: -0.12, Squared loss: 0.02, Entropy loss: 0.05, Avg Rewards: -4.95, Time elapsed: 29.03s
[Model 5828] Epoch: 500, L_clip: -0.19, Squared loss: 0.00, Entropy loss: 0.04, Avg Rewards: -4.95, Time elapsed: 31.14s
[Model 5832] Epoch: 600, L_clip: -0.07, Squared loss: 0.01, Entropy loss: 0.02, Avg Rewards: -4.74, Time elapsed: 31.31s
[Model 5824] Epoch: 500, L_clip: 0.02, Squared loss: 0.00, Entropy loss: 0.05, Avg Rewards: -4.86, Time elapsed: 32.11s
[Model 5829] Epoch: 600, L_clip: 0.01, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.59, Time elapsed: 32.18s
[Model 5830] Epoch: 600, L_clip: -0.13, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.80, Time elapsed: 32.23s
[Model 5825] Epoch: 500, L_clip: -0.07, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.69, Time elapsed: 32.45s
[Model 5826] Epoch: 600, L_clip: 0.08, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.16, Time elapsed: 32.84s
[Model 5831] Epoch: 500, L_clip: 0.03, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.39, Time elapsed: 33.18s
[Model 5827] Epoch: 600, L_clip: -0.24, Squared loss: 0.02, Entropy loss: 0.03, Avg Rewards: -4.81, Time elapsed: 34.24s
[Model 5823] Epoch: 600, L_clip: -0.58, Squared loss: 0.02, Entropy loss: 0.05, Avg Rewards: -4.83, Time elapsed: 34.68s
[Model 5832] Epoch: 700, L_clip: -0.14, Squared loss: 0.01, Entropy loss: 0.02, Avg Rewards: -4.78, Time elapsed: 36.34s
[Model 5828] Epoch: 600, L_clip: -0.19, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.88, Time elapsed: 37.23s
[Model 5830] Epoch: 700, L_clip: -0.02, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.72, Time elapsed: 37.23s
[Model 5829] Epoch: 700, L_clip: -0.05, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.21, Time elapsed: 38.21s
[Model 5824] Epoch: 600, L_clip: -0.04, Squared loss: 0.00, Entropy loss: 0.04, Avg Rewards: -4.86, Time elapsed: 38.38s
[Model 5825] Epoch: 600, L_clip: -0.20, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.86, Time elapsed: 38.63s
