
lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 0.01*0.01
c2 = 0.1*0.1
epochs = 3000
K_epochs = 5


[Model1] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model2] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model3] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model4] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model5] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model6] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model7] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model8] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model9] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]

[Model 6588] Epoch: 400, L_clip: -0.21, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.87, Time elapsed: 20.87s
[Model 6587] Epoch: 400, L_clip: -0.14, Squared loss: 0.01, Entropy loss: 0.03, Avg Rewards: -4.74, Time elapsed: 21.15s
[Model 6583] Epoch: 400, L_clip: -0.15, Squared loss: 0.00, Entropy loss: 0.05, Avg Rewards: -4.98, Time elapsed: 21.26s
[Model 6581] Epoch: 400, L_clip: -0.14, Squared loss: 0.01, Entropy loss: 0.02, Avg Rewards: -4.75, Time elapsed: 21.54s
[Model 6582] Epoch: 400, L_clip: -0.34, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.73, Time elapsed: 21.56s
[Model 6580] Epoch: 500, L_clip: -0.01, Squared loss: 0.01, Entropy loss: 0.02, Avg Rewards: -4.71, Time elapsed: 25.22s
[Model 6589] Epoch: 500, L_clip: -0.50, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.92, Time elapsed: 25.39s
[Model 6586] Epoch: 500, L_clip: -0.39, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.84, Time elapsed: 25.45s
[Model 6585] Epoch: 500, L_clip: -0.79, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.83, Time elapsed: 25.52s
[Model 6584] Epoch: 500, L_clip: -0.05, Squared loss: 0.00, Entropy loss: 0.05, Avg Rewards: -4.89, Time elapsed: 25.73s
[Model 6588] Epoch: 500, L_clip: 0.01, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.75, Time elapsed: 26.13s
[Model 6587] Epoch: 500, L_clip: -0.36, Squared loss: 0.01, Entropy loss: 0.03, Avg Rewards: -4.83, Time elapsed: 26.37s
[Model 6583] Epoch: 500, L_clip: -0.12, Squared loss: 0.00, Entropy loss: 0.04, Avg Rewards: -4.96, Time elapsed: 26.62s
[Model 6582] Epoch: 500, L_clip: -0.24, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.79, Time elapsed: 26.88s
[Model 6581] Epoch: 500, L_clip: -0.07, Squared loss: 0.01, Entropy loss: 0.02, Avg Rewards: -4.67, Time elapsed: 26.93s
[Model 6580] Epoch: 600, L_clip: -0.53, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.83, Time elapsed: 30.27s
