lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 0
c2 = 0
epochs = 2500
K_epochs = 5
Total_random_runs = 5


[Model0] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model1] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model2] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model3] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model4] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]

[Model 12360] Epoch: 800, L_clip: -3.53, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.83, Time elapsed: 23.29s
[Model 12357] Epoch: 800, L_clip: -3.48, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.73, Time elapsed: 23.36s
[Model 12359] Epoch: 900, L_clip: -4.00, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.99, Time elapsed: 24.62s
[Model 12358] Epoch: 900, L_clip: -3.55, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.79, Time elapsed: 25.61s
[Model 12361] Epoch: 900, L_clip: -3.64, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.89, Time elapsed: 25.88s
[Model 12360] Epoch: 900, L_clip: -3.46, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.72, Time elapsed: 26.34s
[Model 12357] Epoch: 900, L_clip: -3.68, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.84, Time elapsed: 26.34s
[Model 12359] Epoch: 1000, L_clip: -3.83, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.92, Time elapsed: 27.86s
[Model 12358] Epoch: 1000, L_clip: -3.70, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.88, Time elapsed: 28.88s
[Model 12361] Epoch: 1000, L_clip: -3.77, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.98, Time elapsed: 29.13s
[Model 12360] Epoch: 1000, L_clip: -3.64, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.85, Time elapsed: 29.80s
[Model 12357] Epoch: 1000, L_clip: -3.55, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.77, Time elapsed: 29.82s
