lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 1
c2 = 1
epochs = 2500
K_epochs = 5
Total_random_runs = 5


[Model0] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model1] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model2] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model4] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]

[Model 12417] Epoch: 800, L_clip: -0.00, Squared loss: 0.11, Entropy loss: 0.69, Avg Rewards: -4.96, Time elapsed: 23.12s
[Model 12418] Epoch: 900, L_clip: -0.00, Squared loss: 0.04, Entropy loss: 0.69, Avg Rewards: -5.00, Time elapsed: 24.73s
[Model 12421] Epoch: 900, L_clip: -0.00, Squared loss: 0.10, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 24.86s
[Model 12420] Epoch: 900, L_clip: 0.00, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 25.24s
[Model 12419] Epoch: 900, L_clip: 0.00, Squared loss: 0.09, Entropy loss: 0.69, Avg Rewards: -4.96, Time elapsed: 25.34s
[Model 12417] Epoch: 900, L_clip: 0.00, Squared loss: 0.07, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 25.97s
[Model 12418] Epoch: 1000, L_clip: -0.00, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -5.00, Time elapsed: 27.54s
[Model 12421] Epoch: 1000, L_clip: -0.01, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 27.77s
[Model 12420] Epoch: 1000, L_clip: -0.01, Squared loss: 0.10, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 28.21s
[Model 12419] Epoch: 1000, L_clip: 0.00, Squared loss: 0.05, Entropy loss: 0.69, Avg Rewards: -5.00, Time elapsed: 28.37s
[Model 12417] Epoch: 1000, L_clip: 0.01, Squared loss: 0.10, Entropy loss: 0.69, Avg Rewards: -4.96, Time elapsed: 29.03s
[Model 12418] Epoch: 1100, L_clip: -0.00, Squared loss: 0.05, Entropy loss: 0.69, Avg Rewards: -5.00, Time elapsed: 30.37s
[Model 12421] Epoch: 1100, L_clip: 0.00, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 30.61s
[Model 12420] Epoch: 1100, L_clip: 0.00, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 31.04s
[Model 12419] Epoch: 1100, L_clip: -0.01, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -5.00, Time elapsed: 31.30s
[Model 12417] Epoch: 1100, L_clip: -0.02, Squared loss: 0.07, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 32.17s
[Model 12418] Epoch: 1200, L_clip: 0.01, Squared loss: 0.05, Entropy loss: 0.69, Avg Rewards: -5.00, Time elapsed: 33.45s
[Model 12421] Epoch: 1200, L_clip: 0.01, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.96, Time elapsed: 33.82s
[Model 12420] Epoch: 1200, L_clip: -0.00, Squared loss: 0.07, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 34.21s
[Model 12419] Epoch: 1200, L_clip: 0.00, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 34.38s
[Model 12417] Epoch: 1200, L_clip: 0.00, Squared loss: 0.07, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 35.18s
[Model 12418] Epoch: 1300, L_clip: -0.01, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 36.19s
