epoch_pipes,epoch_loss_clip,epoch_loss_val,epoch_loss_ent,epoch_loss_tot,epoch_test_pipes
0.020134228187919462,0.0007418736640829593,0.41396088898181915,0.6833213604986668,0.1994053574744612,0
0.019736842105263157,0.01519936163094826,0.09769927244633436,0.6797632873058319,0.026852642506128177,0
0.09701492537313433,0.027679425693349913,0.09495806926861405,0.6276096403598785,0.013523512956453487,0
0.24,0.014610293903388083,0.13072166685014963,0.5611949376761913,0.04513859027065337,0
0.18253968253968253,0.0052393424266483635,0.113188112154603,0.5595506951212883,0.045759206666843966,0
0.2845528455284553,0.011520536441821605,0.12962842965498567,0.6145881339907646,0.047147796605713665,0
0.36752136752136755,0.007187121664173901,0.142827108502388,0.6162306889891624,0.05806412670062855,0
0.5887850467289719,0.008431996044237167,0.17115628626197577,0.6093535348773003,0.07105261110700667,0
0.7623762376237624,0.013539034174755216,0.2069134395569563,0.5803141184151173,0.08411454386077821,1
1.0919540229885059,0.012800517521100119,0.2891584411263466,0.5517238229513168,0.1262614653678611,1
1.8507462686567164,0.014528789964970201,0.33889820240437984,0.5079184249043465,0.1498411293141544,25
3.5652173913043477,0.007729285818641074,0.34284113720059395,0.4857399370521307,0.15883388137444854,-1
3.697674418604651,0.011062770208809525,0.3657073248177767,0.4823122229427099,0.16696776682510972,22
9.142857142857142,0.007570477668195963,0.3337906915694475,0.4595091696828604,0.15472977655008435,-1
18.363636363636363,0.005638274975353852,0.22018487378954887,0.4212333280593157,0.10024182870984077,12
23.11111111111111,0.005037926777731627,0.20221959706395864,0.4437874034047127,0.09163399843964726,-1
16.76923076923077,0.004328542936812429,0.263499932254062,0.40636491950820475,0.12335777326541789,22
23.444444444444443,0.007110490230843425,0.16213932912796736,0.41093894839286804,0.06984978512628004,-1
112.5,0.004024743652817878,0.07827937749750687,0.4040960669517517,0.031073984894619294,74
45.2,0.0010885440415757544,0.12153009785448804,0.4024326450684491,0.05565217805697637,-1
42.4,0.004333415650762618,0.18104673409834504,0.3927541170269251,0.08226240950170904,30
59.0,0.0037630440886406336,0.15191401322098338,0.4104091928285711,0.06808987122905605,-1
32.0,0.0027307209093123674,0.2357587692412463,0.39687656543471594,0.11117989823899486,175
139.5,0.005717381672002375,0.07588906660676002,0.3812061548233032,0.028415091009810566,-1
118.0,0.0020181456690325458,0.08022667138892062,0.3992922586553237,0.03410226690089878,368
272.0,0.0013664944795891642,0.05266899773851037,0.38132028877735136,0.02115480202483013,-1
85.0,0.006240712981671095,0.10342229396104813,0.37743486285209654,0.0416960858553648,-1
101.0,0.0012268721422349865,0.08893220329826529,0.3762034651908008,0.039477193812755024,-1
54.0,0.004162153112702072,0.1644055275246501,0.37994549609720707,0.07424115520552732,1507
124.0,0.004084055389588078,0.06188612638248338,0.39139552579985726,0.022945053034668997,-1
97.33333333333333,0.0006364773781526656,0.10117681253524054,0.3815360310531798,0.04613656986371747,-1
135.0,0.0031133100972510876,0.06240760530345142,0.3806698940694332,0.02428379387711175,-1
724.0,0.0035291670004503344,0.027410248558054556,0.36671160358302995,0.0065088415790770975,10907
210.5,0.000923192361369729,0.06208410516621605,0.3601535010722376,0.026517325771912452,-1
239.0,0.0053760168306967795,0.050670023377546496,0.34757531565778393,0.016483241253915953,-1
352.0,0.0014056082671651472,0.03294482997332055,0.351562432371653,0.011551183003645677,-1
299.0,0.0014267927670682018,0.019291043189834014,0.3541420047933405,0.004677308769191079,-1
236.5,0.0036547199877745963,0.03840852712335832,0.35723698051536784,0.011977174593245281,-1
864.5,0.0008844698258624302,0.01647883031781264,0.3539154668023267,0.003815790574161673,-1
192.5,0.0015386841259896755,0.044518667506054044,0.35681349677698954,0.017152515514421145,-1
531.5,0.00044451561422111135,0.022993976259245895,0.35903093486260146,0.0074621634319042545,-1
838.0,-0.002506521522815599,0.0098513537468236,0.35742025443764985,0.003857995894905485,-1
244.0,0.0014101760203225745,0.033334503525919795,0.3652714606788423,0.011604361404250894,-1
307.0,0.0005021692168983546,0.024866911159320312,0.3587572059848092,0.008343713993037289,-1
181.0,0.00040424325001927523,0.04506014722685974,0.3663026931194159,0.01846280336702386,-1
261.0,0.00295460846667227,0.04546656996305836,0.37565751922758,0.01602210131424822,-1
586.0,0.0017823403116402237,0.019409187251788584,0.36755602442941,0.0042466931586522,-1
821.0,0.002229185689551135,0.018233308436659476,0.3770144522190094,0.0031173248038006327,-1
342.0,0.0022494183977444966,0.036307002540367346,0.3835789942741394,0.012068293200184902,1459
253.33333333333334,0.001518977340310812,0.03497327924040811,0.38124115179692,0.012155250874846908,-1
745.0,0.0011920998302296898,0.01798946673793872,0.38397581861653457,0.003962875459206487,-1
478.5,0.0011685482758496488,0.026472022840087966,0.38519587559359414,0.008215504452320083,-1
495.0,0.002590832701470289,0.0219319288023851,0.3693347747127215,0.0046817843879883485,-1
236.0,0.0023675552322803173,0.05678996217765791,0.3970957407180001,0.022056468817241052,-1
524.0,0.0006970351954039774,0.023585483833142604,0.3703829426514475,0.007391876896451178,-1
242.0,0.007235636962029864,0.042788027607671475,0.36346455707269554,0.010523729998727931,-1
